ox_start
PC eigenvalues explained_variance cumulative variance
1 17.04 28.78 28.78
2 12.75 21.52 50.31
3 6.91 11.67 61.98
4 4.81 8.13 70.10
5 3.77 6.37 76.47
6 2.82 4.76 81.23
7 1.74 2.93 84.16
8 1.33 2.24 86.40
9 1.18 2.00 88.40
10 0.94 1.59 90.00
11 0.84 1.42 91.42
12 0.84 1.42 92.84
13 0.73 1.23 94.07
14 0.67 1.13 95.19
15 0.62 1.05 96.25
16 0.61 1.03 97.27
17 0.45 0.76 98.03
18 0.42 0.71 98.74
19 0.39 0.66 99.40
20 0.35 0.60 100.00
ox_amp
PC eigenvalues explained_variance cumulative variance
1 29.41 44.62 44.62
2 9.63 14.61 59.24
3 6.30 9.55 68.79
4 4.42 6.71 75.50
5 2.83 4.29 79.80
6 2.50 3.79 83.59
7 1.67 2.53 86.12
8 1.45 2.20 88.32
9 1.20 1.82 90.15
10 1.15 1.75 91.90
11 0.77 1.17 93.07
12 0.73 1.11 94.18
13 0.67 1.02 95.21
14 0.62 0.94 96.15
15 0.52 0.78 96.93
16 0.49 0.75 97.68
17 0.43 0.64 98.32
18 0.41 0.62 98.94
19 0.36 0.55 99.49
20 0.33 0.51 100.00
ox_all
PC eigenvalues explained_variance cumulative variance
1 34.59 45.20 45.20
2 12.66 16.54 61.74
3 6.59 8.61 70.35
4 4.81 6.29 76.64
5 3.16 4.13 80.78
6 2.71 3.54 84.32
7 1.71 2.23 86.55
8 1.54 2.01 88.56
9 1.27 1.66 90.23
10 1.19 1.55 91.78
11 0.99 1.30 93.08
12 0.92 1.20 94.28
13 0.72 0.94 95.22
14 0.64 0.84 96.06
15 0.59 0.77 96.83
16 0.58 0.76 97.60
17 0.56 0.73 98.33
18 0.47 0.61 98.94
19 0.43 0.56 99.49
20 0.39 0.51 100.00
