#Frame      Mode1    Mode2    Mode3
       1   -0.749   -2.067   -3.121
       2   -0.676   -3.469   -1.649
       3   -1.602   -2.571   -1.875
       4   -0.747   -4.452   -1.956
       5   -0.725   -3.778   -1.117
       6   -1.154   -1.026   -1.614
       7   -0.661   -2.161   -2.061
       8    1.688   -3.660   -1.523
       9    0.376   -4.201   -0.177
      10   -0.324   -2.407    0.395
      11   -1.851   -3.091    1.033
      12   -0.956   -3.152   -1.830
      13   -1.142   -3.903    0.005
      14   -0.634   -2.641    0.497
      15    0.011   -2.683   -0.725
      16   -0.878   -3.884   -1.495
      17   -2.116   -2.016   -1.310
      18   -0.981   -1.277   -0.073
      19   -2.460   -3.139   -0.632
      20   -0.109   -3.222    1.592
      21   -0.137   -4.054    0.588
      22    0.064   -3.900   -0.846
      23   -0.065   -5.641    0.490
      24   -0.782   -3.297   -0.649
      25   -0.770   -3.207   -0.501
      26    1.001   -3.864   -0.899
      27   -2.544   -1.736   -1.194
      28   -2.075   -4.243   -0.088
      29   -3.477   -3.444   -1.088
      30   -1.730   -2.398   -0.917
      31   -0.503   -1.276   -0.123
      32   -1.082   -3.927    0.938
      33   -4.905   -4.183   -0.397
      34   -3.320   -2.382   -0.040
      35   -1.551   -2.544    0.053
      36   -0.007   -2.892   -0.870
      37   -1.150   -0.446   -0.843
      38   -2.399   -0.984    0.358
      39   -0.656   -0.949   -1.058
      40   -1.704   -2.417   -0.550
      41   -1.368   -2.498   -0.011
      42   -1.234   -2.168   -0.228
      43   -1.144   -1.543   -1.006
      44   -3.477   -2.910   -0.588
      45   -1.417   -2.832   -0.471
      46   -0.376   -2.599   -1.046
      47   -1.779   -2.069   -0.338
      48   -0.144   -2.898    1.001
      49   -0.564   -3.039    0.576
      50   -1.577   -2.507   -0.348
      51   -0.137   -3.874    1.022
      52    0.129   -3.307   -1.689
      53   -2.029   -2.583    0.243
      54   -2.273   -4.785   -0.798
      55   -1.437   -4.311    0.660
      56   -2.755   -2.049    0.837
      57   -0.748   -3.294   -1.709
      58    1.427   -2.289    0.728
      59    0.773   -1.181   -0.126
      60   -2.088   -2.358   -0.724
      61   -0.946   -1.145   -2.004
      62   -0.504   -4.540   -1.200
      63   -1.858   -1.644   -0.790
      64   -0.286   -1.093    0.678
      65   -1.491   -2.228   -0.321
      66   -0.768   -3.333   -0.879
      67   -1.230   -2.667    0.942
      68    0.640   -2.137   -1.351
      69    0.044   -1.058   -1.543
      70   -2.685   -0.972   -0.635
      71   -0.774   -2.600   -0.914
      72   -1.002    0.153    0.895
      73   -2.157   -1.987   -0.110
      74   -2.559   -2.827   -0.941
      75   -1.899   -1.725   -1.254
      76   -0.192   -3.590    0.078
      77    0.195   -2.264   -1.378
      78   -1.628    0.186    0.405
      79   -0.258   -1.380    1.049
      80    1.622   -2.755    0.594
      81    1.136   -1.404    0.220
      82    1.526   -2.390   -0.178
      83    1.500   -1.210   -0.644
      84    0.115   -0.560   -0.165
      85    0.804   -0.763    0.151
      86   -0.003   -2.515   -0.325
      87   -0.941   -2.059   -0.179
      88   -0.780   -0.509    0.618
      89   -1.730    0.182   -0.800
      90    0.670   -2.061   -0.791
      91   -0.104   -1.831    1.009
      92    0.152   -1.453    0.166
      93   -0.126   -1.997    2.606
      94    1.288   -1.510   -0.846
      95   -0.521   -1.123    0.590
      96   -2.476   -1.944    1.107
      97   -2.674   -0.041    0.183
      98    0.268   -1.902   -0.280
      99    0.810   -1.879   -0.130
     100   -0.250   -2.826   -0.033
     101    0.262   -2.121    0.628
     102   -0.480   -1.927    0.209
     103   -0.300   -1.799    1.054
     104   -0.305   -0.956   -1.286
     105    1.224   -1.536    0.604
     106    1.799   -1.565   -0.145
     107   -1.043   -1.497   -1.070
     108   -0.421   -1.254   -0.653
     109   -1.779   -1.322   -1.024
     110   -1.191   -2.101    0.794
     111    0.620   -1.391    0.287
     112    1.597   -2.246   -2.055
     113    0.650   -0.260    0.031
     114    0.759   -1.906   -0.360
     115   -1.504   -0.145    0.393
     116   -1.898    0.366   -0.716
     117   -2.098   -0.305   -0.354
     118    1.422   -1.948   -0.380
     119   -0.993   -1.192    1.151
     120   -0.024   -1.763    0.931
     121    0.140   -2.390    0.019
     122   -1.434   -0.900    0.524
     123    0.817   -1.856    0.176
     124   -0.152   -1.646   -0.682
     125   -0.828   -1.476    0.507
     126   -1.457   -3.484    1.052
     127    0.685   -2.210    1.358
     128   -1.076   -0.704    0.817
     129   -0.598   -2.904    0.052
     130   -0.933   -1.495    2.398
     131   -0.613   -3.024    0.357
     132    0.713   -2.871    0.998
     133   -0.271   -2.235    0.225
     134   -1.137   -3.050    1.100
     135    0.418   -2.304    1.338
     136    0.302   -1.690    1.462
     137   -0.880   -2.324    1.854
     138    1.125   -4.983   -0.458
     139   -0.655   -1.744    0.330
     140    1.716   -3.389   -0.701
     141   -0.883   -0.938   -0.170
     142   -0.444   -0.085   -0.027
     143    1.078   -3.861   -2.181
     144   -0.405   -2.510   -1.285
     145   -0.882   -2.206    0.298
     146    1.441    0.287   -0.640
     147    2.197   -1.461   -0.316
     148    0.393   -1.669    0.096
     149    1.030   -2.486   -0.561
     150   -0.675   -2.006    0.199
     151   -0.655   -1.662    1.225
     152   -0.157   -1.346    1.865
     153   -0.795   -1.686    1.287
     154    0.939   -3.367    0.755
     155    1.092   -2.398   -0.220
     156    2.238   -1.285    0.086
     157    1.153   -1.073    0.717
     158   -0.059   -0.090   -0.425
     159   -0.360   -1.588   -0.729
     160    2.390   -1.101   -1.097
     161   -2.084   -0.584    0.335
     162   -0.054   -1.830    0.807
     163   -2.099   -1.728    1.708
     164   -0.496   -2.457    0.824
     165   -0.899   -2.011   -1.062
     166   -2.870   -1.960    2.461
     167   -0.403   -1.014    0.060
     168    0.451   -2.955   -0.342
     169    1.473   -1.839    0.994
     170   -0.713   -2.249    2.376
     171   -0.248   -0.686    3.173
     172    1.529   -2.200    0.542
     173    0.133   -2.186    0.965
     174   -1.523   -0.000    0.129
     175   -0.451   -0.929    0.490
     176   -0.554   -1.010   -0.032
     177   -0.591   -1.314   -0.344
     178   -0.038   -0.695    0.227
     179    1.740   -2.377   -0.730
     180    0.032   -0.946    0.319
     181   -0.843   -0.036   -1.293
     182   -1.302   -1.676   -0.682
     183   -0.374   -0.972    0.242
     184   -2.296    2.776    0.514
     185    0.461    1.002   -0.965
     186   -0.986   -0.631   -1.679
     187   -0.075   -0.554   -1.414
     188    1.579   -1.793   -1.642
     189    1.245   -1.650   -0.041
     190    1.364   -0.373   -1.202
     191    0.013    0.243   -0.483
     192    0.551   -0.049   -0.888
     193   -1.293   -3.359    0.461
     194   -0.193   -1.930   -0.678
     195   -1.781   -1.451   -0.637
     196   -1.838   -2.677   -1.908
     197    0.716   -0.852    0.114
     198   -0.137   -0.468   -0.579
     199   -1.576   -0.469    0.876
     200   -0.344    1.087   -1.463
     201   -0.899    1.524   -2.520
     202   -0.550   -1.407   -0.178
     203    1.163   -1.480   -0.230
     204    0.485    0.030    0.189
     205   -0.039   -2.379   -0.682
     206   -1.039   -1.704   -1.145
     207   -2.428   -2.872   -0.986
     208   -1.864   -3.271    0.134
     209   -4.312   -3.571    1.295
     210    0.347   -1.945   -1.524
     211    0.605   -1.590    0.512
     212   -1.047   -1.369    0.963
     213   -0.178   -2.248   -2.188
     214   -1.489   -0.398   -0.419
     215    2.250   -2.769   -2.079
     216   -1.176   -3.126   -1.840
     217   -1.054   -1.297   -1.464
     218   -1.631   -1.226   -1.905
     219   -1.921   -2.130   -0.947
     220   -2.174   -1.629   -0.558
     221    0.943    1.237   -3.002
     222    0.579   -1.677   -2.229
     223   -1.095   -2.129   -1.114
     224   -0.419   -2.382   -2.461
     225    0.750   -1.885   -1.564
     226    0.598   -1.658   -2.902
     227   -0.275   -1.211   -3.157
     228   -0.598   -2.346   -0.841
     229   -0.531   -0.865   -2.512
     230   -0.437   -1.532   -1.836
     231   -1.125   -1.396    0.633
     232   -0.185   -0.278   -1.397
     233    1.092   -3.521   -1.835
     234    0.854   -2.410    0.012
     235   -0.328   -1.522   -1.037
     236    0.157   -1.339    0.322
     237    0.351   -2.671   -1.387
     238   -0.431   -1.798   -0.422
     239   -0.330   -1.280   -0.294
     240   -0.264   -0.751    0.192
     241    1.728   -1.402   -1.211
     242    0.890   -0.390    0.178
     243    1.020   -2.036   -1.274
     244    0.711    0.487    0.240
     245    1.121   -0.841   -0.040
     246    2.375   -1.135   -0.502
     247   -1.119   -0.631    1.381
     248    0.928   -1.532    0.488
     249   -0.699   -1.018   -0.273
     250    1.262   -0.610   -0.116
     251    1.182   -3.196   -0.456
     252   -0.768   -2.252   -0.276
     253    1.128   -0.759   -0.953
     254    1.024   -1.017   -0.707
     255    1.458   -0.271   -0.593
     256   -1.678   -1.092    1.320
     257    0.208   -0.496   -2.096
     258    0.583   -0.979   -1.163
     259    0.362   -1.130   -1.992
     260    2.247    0.386   -0.280
     261    1.605   -0.039   -0.871
     262    0.714   -0.662   -0.353
     263   -0.837   -0.702    0.155
     264    0.161    1.842   -0.810
     265    0.223    0.190   -0.123
     266   -0.759   -1.748   -0.556
     267   -0.375   -0.504    0.135
     268   -0.129   -0.753   -1.825
     269   -0.253    0.474    1.928
     270    0.529    0.023   -1.179
     271    1.259   -0.807   -2.285
     272    0.719   -2.231    0.102
     273   -0.681   -1.732   -0.359
     274   -0.665   -0.702    0.598
     275   -0.671   -1.682   -0.562
     276   -0.768    0.591   -0.007
     277   -3.030    0.509   -1.390
     278    1.185   -1.673    0.402
     279    0.856   -0.542   -1.233
     280    0.459   -0.415   -1.221
     281   -0.127    0.093    0.215
