so_start
PC eigenvalues explained_variance cumulative variance
1 11.75 31.96 31.96
2 6.52 17.74 49.70
3 3.70 10.06 59.76
4 3.06 8.34 68.09
5 1.71 4.65 72.74
6 1.50 4.09 76.83
7 1.46 3.98 80.82
8 1.00 2.72 83.53
9 0.95 2.59 86.12
10 0.90 2.44 88.56
11 0.72 1.95 90.51
12 0.57 1.56 92.06
13 0.50 1.35 93.42
14 0.47 1.29 94.71
15 0.41 1.12 95.83
16 0.37 1.02 96.85
17 0.33 0.89 97.75
18 0.31 0.85 98.59
19 0.27 0.73 99.33
20 0.25 0.67 100.00
so_amp
PC eigenvalues explained_variance cumulative variance
1 14.54 30.63 30.63
2 10.85 22.85 53.48
3 4.77 10.04 63.52
4 2.90 6.11 69.63
5 2.52 5.31 74.94
6 1.76 3.70 78.64
7 1.50 3.16 81.80
8 1.35 2.85 84.66
9 1.13 2.37 87.03
10 0.87 1.83 88.86
11 0.84 1.78 90.64
12 0.75 1.57 92.21
13 0.66 1.39 93.60
14 0.64 1.36 94.95
15 0.51 1.06 96.02
16 0.48 1.00 97.02
17 0.42 0.90 97.91
18 0.35 0.74 98.66
19 0.33 0.70 99.35
20 0.31 0.65 100.00
so_amp
PC eigenvalues explained_variance cumulative variance
1 12.99 30.57 30.57
2 8.88 20.89 51.47
3 4.32 10.16 61.63
4 3.00 7.07 68.69
5 2.06 4.86 73.55
6 1.67 3.93 77.48
7 1.50 3.52 81.00
8 1.16 2.73 83.73
9 1.04 2.45 86.18
10 0.88 2.07 88.25
11 0.84 1.97 90.22
12 0.70 1.64 91.86
13 0.62 1.47 93.32
14 0.54 1.28 94.60
15 0.50 1.17 95.77
16 0.44 1.04 96.80
17 0.41 0.96 97.77
18 0.34 0.80 98.57
19 0.31 0.72 99.30
20 0.30 0.70 100.00
